Potion,Effect,Items
Resist Magic,Reduces Magic damage taken by X%.,"Gleamblossom, Aster Bloom Core, Chicken's Egg, Hagraven Claw, Lavender, Tundra Cotton, Hawk's Egg, Void Salts, Fine-Cut Void Salts, Felsaad Tern Feathers, Bungler's Bane, Bleeding Crown, Crimson Nirnroot, Nirnroot, Wisp Wrappings"
Resist Poison,Reduces Poison damage taken by X%.,"Yellow Mountain Flower, Beehive Husk, Garlic, Grass Pod, Troll Fat, Slaughterfish Egg, Thistle Branch, Falmer Ear, Mudcrab Chitin, Charred Skeever Hide, N/A"
Resist Shock,Reduces Shock damage taken by X%.,"Blue Dartwing, Glowing Mushroom, Swamp Fungal Pod, Ash Jopper Jelly, Hawk Beak, Pearl, Pine Thrush Egg, Snowberries, Glow Dust"
Restore Health,Restores X health.,"Felsaad Tern Feathers, Ash Hopper Jelly, Spadefish, Ambrosia, Blue Mountain Flower, Butterfly Wing, Daedra Heart, Wheat, Rock Warbler Egg, Blisterwort, Blue Dartwing, Eye of Sabre Cat, Charred Skeever Hide, Imp Stool, Swamp Fungal Pod"
Restore Magicka,Restores X Magicka.,"Glassfish, Lyretail Anthias, Blister Pod Cap, Bog Beacon, Elves Ear, Ectoplasm, Briar Heart, Mora Tapinella, Creep Cluster, Red Mountain Flower, Vampire Dust, Frost Salts, Fire Salts, Human Flesh, Pearl, White Cap, Moon Sugar, Dwarven Oil, Giant Lichen, Grass Pod, Taproot"
Restore Stamina,Restores X stamina.,"Goldfish, Pearlfish, Pygmy Sunfish, Bee, Bear Claws, Eye of Sabre Cat, Honeycomb, Histcarp, Hawk Beak, Mudcrab Chitin, Orange Dartwing, Pearl, Pine Thrush Egg, Large Antlers, Charred Skeever Hide, Torchbug Thorax, Purple Mountain Flower, Silverside Perch, Wisp Wrappings, Small Pearl, Sabre Cat Tooth, Powdered Mammoth Tusk, Salmon Roe, Netch Jelly, N/A"
Slow,Cuts movement speed by 50% for X seconds.,"Bungler's Bane, Poison Bloom, Salt Pile, Deathbell, Large Antlers, River Betty, Trama Root, Burnt Spriggan Wood"
Water breathing,Breathe underwater for X seconds.,"Nordic Barnacle, Salmon Roe, Chicken's Egg, Hawk's Egg, Angler Larvae, Goldfish, Histcarp, Angelfish"
Weakness to Fire,Increases Fire damage taken by X%.,"Burnt Spriggan Wood, Bleeding Crown, Frost Salts, Juniper Berries, Moon Sugar, Powdered Mammoth Tusk, Ice Wraith Teeth"
Weakness to Frost,Increases Frost damage taken by X%.,"Abecean Longfin, Fire Salts, White Cap, Ice Wraith Teeth, Elves Ear, Ash Hopper Jelly"
Weakness to Magic,Increases Magic damage taken by X%.,"Salt Pile, Dwarven Oil, Scaly Pholiota, Jazbay Grapes, Taproot, Torchbug Thorax, Creep Cluster, Rock Warbler Egg"
Weakness to Poison,Increases Poison damage taken by X%.,"Small Antlers, Chaurus Eggs, Bleeding Crown, Abecean Longfin, Giant Lichen, Pine Thrush Egg, Deathbell, Sabre Cat Tooth"
Weakness to Shock,Increases Shock damage taken by X%.,"Trama Root, Stoneflower Petals, Void Salts, Giant Lichen, Fine-Cut Void Salts, Ashen Grass Pod, Bee, Hagraven Feathers"
